country_date_id,majority,population
112226,V,62.69
102213,NV,0.00
110119,V,70.57
89911,NV,12.66
66831,NV,1.12
145761,NV,33.78
134276,V,79.64
132379,NV,0.00
49770,NV,0.00
170519,NV,0.00
100615,V,67.43
66460,NV,0.00
31507,V,80.59
162681,NV,0.00
98608,V,86.23
570,V,57.55
110030,V,70.52
126301,NV,0.00
7209,V,81.50
146888,V,103.72
139759,NV,0.00
105837,V,66.46
82268,NV,0.00
79547,NV,0.97
141546,V,56.50
33197,NV,0.00
179561,NV,0.00
187993,NV,0.00
107365,NV,0.00
63018,V,76.99
6237,V,103.72
163543,NV,38.49
77005,NV,0.00
486,NV,12.98
20479,NV,0.00
46522,NV,0.00
83981,NV,0.00
47308,NV,0.00
140823,NV,0.00
17947,V,83.27
110709,NV,10.74
1675,NV,1.05
94268,NV,14.98
107546,NV,19.20
5234,V,66.96
44907,V,71.86
18253,NV,0.00
37658,NV,0.00
168648,V,73.36
8617,NV,0.00
46494,NV,0.00
94766,NV,0.00
31488,V,79.89
135285,V,66.46
123878,NV,0.00
100490,V,57.03
5587,NV,0.00
112852,NV,48.49
6022,V,94.80
121448,NV,31.07
121422,NV,26.23
94708,NV,0.00
138053,NV,23.26
194512,NV,0.00
148650,NV,39.07
115970,NV,15.49
21614,NV,0.00
11914,NV,0.00
21306,NV,0.00
2554,NV,0.00
21162,NV,0.00
123380,V,60.27
43327,NV,0.00
150764,NV,18.29
76906,NV,0.00
12211,NV,39.21
102586,NV,18.61
68788,NV,0.00
34325,NV,0.00
54169,NV,0.60
9244,V,76.31
107889,V,68.15
15560,NV,32.05
56198,NV,6.00
23434,NV,0.00
94025,NV,1.17
50200,V,80.85
90790,NV,5.47
1495,NV,0.00
90773,NV,3.99
80524,V,60.82
90892,NV,28.04
83040,NV,0.00
7772,NV,0.00
137600,NV,0.00
10267,NV,45.27
144507,NV,44.28
63532,NV,0.00
33945,NV,0.00
107345,NV,0.00
106696,NV,24.82
15561,NV,32.44
15555,NV,23.80
68855,NV,0.00
92966,NV,17.31
54632,NV,35.47
102713,V,55.63
50628,NV,0.00
53706,NV,0.00
35474,NV,0.00
30639,NV,28.28
104854,V,67.18
20956,V,57.70
20819,NV,26.85
167838,NV,40.83
75009,NV,0.35
169169,NV,0.00
138114,NV,45.69
162005,NV,0.00
152027,V,66.47
159380,V,70.15
394,NV,0.00
84079,NV,0.00
161397,NV,47.67
146424,NV,49.86
11477,NV,0.10
64932,V,69.70
20096,NV,26.17
1746,NV,1.05
187842,NV,0.00
52468,NV,14.43
143182,NV,7.94
114952,NV,0.00
53645,V,78.26
70336,V,72.89
4578,NV,0.00
146599,V,82.31
30628,NV,28.14
115370,NV,4.72
30541,NV,19.15
190171,NV,0.00
186043,NV,0.00
77232,NV,12.54
29148,NV,4.42
163036,NV,0.00
195972,NV,23.15
189923,NV,0.00
84532,NV,2.59
13670,NV,19.68
131395,NV,0.00
179076,NV,46.93
150744,NV,18.29
14353,NV,0.00
171626,NV,2.02
125528,NV,0.00
170078,NV,0.00
89827,NV,4.32
176091,V,50.92
140040,NV,0.00
119776,NV,0.00
181531,NV,0.00
97171,NV,5.26
178873,NV,2.85
75713,NV,0.00
7612,NV,0.00
20972,V,59.43
9961,NV,0.00
21779,NV,25.87
4669,NV,0.00
183526,NV,26.58
161577,NV,47.71
85101,NV,0.00
37894,NV,0.45
24748,NV,0.13
188039,NV,0.00
23841,NV,10.11
157276,NV,22.29
127501,NV,0.12
130634,NV,12.87
13229,NV,0.00
17877,V,83.12
129278,NV,0.00
90572,NV,0.00
1504,NV,0.00
171049,NV,0.00
98430,V,85.93
16007,NV,0.00
171736,NV,9.15
160750,NV,0.00
24909,NV,16.28
8927,NV,7.48
146684,V,95.58
77989,NV,0.00
178823,NV,0.27
159187,V,64.49
100474,V,50.94
80292,NV,37.07
125330,NV,1.30
26363,V,54.68
167462,NV,0.00
156002,NV,7.22
112515,NV,0.00
111009,V,73.89
138143,V,53.02
168577,V,72.31
3978,NV,41.14
52556,NV,14.43
119990,NV,0.00
71610,NV,0.00
31127,NV,1.49
87939,V,64.91
157216,NV,17.08
120980,NV,0.00
51768,NV,0.00
149389,NV,0.00
125328,NV,1.25
110230,NV,0.00
167176,NV,0.00
112229,V,62.69
90015,NV,22.03
29259,NV,10.17
41981,V,52.05
50053,V,73.83
145459,NV,22.40
117533,NV,0.00
177182,V,67.84
107326,NV,0.00
84736,V,61.79
6255,V,103.72
106310,NV,0.00
168633,V,73.05
168341,NV,35.43
175245,NV,0.00
166831,V,72.41
71755,NV,0.00
47357,NV,0.00
185020,NV,0.00
19683,NV,13.18
9812,NV,0.00
130292,NV,0.00
156384,NV,0.00
108087,V,68.34
112978,V,63.87
104110,NV,0.00
52462,NV,14.43
16054,NV,0.00
109863,V,66.48
144487,NV,42.91
4620,NV,0.00
176391,NV,0.00
30827,NV,0.00
152837,NV,1.24
128093,NV,0.00
92058,V,80.46
65789,NV,2.78
51561,NV,0.00
11534,NV,0.13
32517,V,67.36
151767,V,58.84
6784,NV,0.45
180627,NV,0.00
163858,NV,0.00
117321,NV,4.53
9578,NV,0.00
61757,V,73.52
42204,NV,0.00
188373,NV,3.89
159236,V,69.91
168844,V,75.65
9474,V,76.31
125027,NV,0.00
983,V,78.27
2173,NV,0.00
159810,NV,0.00
145974,NV,0.00
90437,NV,0.00
88845,V,72.85
122534,NV,22.48
8565,NV,0.00
133234,V,70.99
152650,NV,0.09
13174,NV,0.00
16237,NV,0.00
105005,NV,0.00
60759,V,66.36
1611,NV,0.43
122244,NV,0.19
46655,NV,2.84
11487,NV,0.11
170853,NV,11.79
171450,NV,0.00
135786,NV,0.00
134768,NV,0.42
127194,NV,0.00
40467,NV,4.94
7558,NV,0.00
137537,NV,0.00
18188,NV,0.00
15208,NV,0.00
134141,V,78.62
9381,V,76.31
58307,NV,0.00
185096,NV,4.78
110344,NV,0.00
41765,V,51.72
182406,NV,11.45
109459,NV,0.00
21768,NV,19.16
16559,NV,23.30
100437,NV,48.38
13375,NV,1.40
22486,NV,0.00
96972,NV,0.00
6136,V,100.67
100057,NV,0.00
89495,NV,0.00
138453,V,82.94
122954,NV,0.00
128861,NV,6.09
109938,V,70.17
13911,NV,0.00
165150,NV,2.54
95184,NV,12.27
95171,NV,11.38
102105,NV,0.00
96661,NV,0.00
78756,NV,0.00
39683,NV,6.29
85312,NV,0.00
4212,NV,0.00
165115,NV,0.83
24697,NV,0.00
181961,NV,0.00
154457,NV,0.00
129801,NV,41.82
94777,NV,0.00
11315,NV,0.03
125186,NV,0.00
13152,NV,0.00
45893,V,63.16
8247,V,81.90
161868,NV,0.00
38622,NV,0.00
90675,NV,0.00
23215,V,74.22
27996,NV,0.00
5497,NV,0.00
176590,NV,0.00
165074,NV,0.00
131115,V,68.08
54686,NV,35.96
54080,NV,0.00
176367,NV,0.00
127452,NV,0.00
23546,NV,0.00
184626,NV,38.17
102208,NV,0.00
22152,V,54.28
112279,V,62.75
192296,NV,0.00
6748,NV,0.00
118121,V,78.42
18746,NV,35.94
5413,NV,0.00
168127,NV,0.00
162529,NV,11.28
115033,NV,0.62
106959,NV,37.85
61345,NV,0.00
12330,V,74.02
11165,NV,0.00
140420,NV,2.60
126722,NV,14.74
179942,NV,17.83
140287,NV,2.17
68419,NV,22.92
66170,NV,33.98
161515,NV,47.71
140441,NV,2.60
87773,V,60.29
44250,NV,0.00
3323,NV,0.00
89602,NV,0.00
54229,NV,1.68
41132,NV,0.00
35071,NV,0.00
44530,NV,3.21
159674,NV,0.00
158776,NV,0.00
122714,NV,30.08
100233,NV,5.85
129186,NV,0.00
63066,V,76.99
134153,V,78.81
83448,NV,27.05
59136,NV,0.00
10312,NV,46.07
1296,NV,0.00
179667,NV,0.00
133191,V,67.18
7613,NV,0.00
21226,NV,0.00
11011,NV,0.00
123181,NV,0.00
120763,NV,0.00
378,NV,0.00
10307,NV,46.02
178772,NV,0.00
169199,NV,0.00
75385,NV,45.23
111673,NV,0.00
96514,V,86.62
105141,NV,0.00
23507,NV,0.00
166594,V,71.64
185606,V,84.48
7510,NV,0.00
67241,NV,21.49
95055,NV,1.11
83409,NV,11.20
135136,V,65.65
127976,NV,11.37
36688,NV,0.58
22495,NV,0.00
135474,NV,0.00
10921,NV,0.00
154280,NV,0.00
134957,NV,31.55
91534,NV,0.00
67182,NV,18.01
24506,NV,0.00
94082,NV,1.60
157807,NV,0.00
118400,V,88.06
15941,NV,0.00
45085,NV,0.00
4629,NV,0.00
