country_date_id,cases,death
76543,1445336,9597
56757,13422984,114179
42879,877533,8472
137101,474231,7341
104243,2063,38
192148,1128,304
12103,842775,22763
167816,73368,1422
170850,7415,193
1916,177974,7671
190794,10732429,43083
46656,2471942,71240
10134,413986,5512
193684,2916803,88619
134686,126240,1471
17435,189356,685
19900,375735,15724
176946,1,0
142109,117366,2174
113333,14782,63
16563,654819,26191
99968,23,0
36666,95399,1517
70965,5863,200
8592,16308,717
180240,15003696,98610
6620,500034,10405
8828,364003,7775
126512,122699,3288
110058,832884,5855
20105,399584,16161
84342,1342134,56973
5735,385160,1198
108997,254865,1084
56092,1854951,49824
66478,16431,103
11282,20351,38
46391,188534,8872
171928,37299,274
117541,0,0
14008,1352,55
101296,544866,7851
98517,18359341,24547
191973,11981,14
107991,1183422,9208
7632,25670,611
187822,0,0
176682,0,0
175556,41,0
112428,96,4
182088,1367,50
154346,14951,14
143257,896026,17126
132029,1424672,2871
74564,0,0
185579,969803,7403
48956,2634,8
6058,777584,2170
4690,11069,112
42510,309486,3908
164963,2865,133
13454,25522,161
107528,254304,4007
137294,832045,8229
195758,131205,4627
64142,48668,306
176062,22885,130
40832,8445,161
32291,698798,10741
120356,709429,2001
114102,378202,10328
110148,918860,5977
111885,929699,14199
79761,33764,857
68419,38047,456
62070,35861040,153607
159806,4382,108
145516,461467,4810
138202,2780049,203868
28483,60109,21
63260,802,9
113358,15005,65
4647,9638,97
193455,1521706,50803
59434,93383,977
149276,1471000,25353
114127,438249,10635
30828,80782,6714
94799,56170,1134
113823,236563,5224
17865,628743,1494
139597,0,0
91156,1697673,14068
100642,210815,757
58661,469153,7484
152655,36122,2719
10270,621563,8457
73865,7715,130
131884,282918,1093
116693,2640,125
72701,102415,3567
188487,431296,5144
144315,432801,13645
116977,14244,514
32438,872558,11233
2343,1164,54
161174,955672,8331
128791,253727,3139
19654,206476,9694
11770,470,7
184495,5285730,116335
29982,4948,63
152196,0,0
97192,2,0
35739,81367,791
128562,167467,2119
43478,43484,291
152778,38827,2953
172593,141217,920
74150,19179,263
119688,10,0
132727,307925,3194
5171,43449,153
31442,2372323,30436
21982,57318,660
11576,49370,38
188373,312115,3694
25429,0,0
192800,11805,2143
12116,902964,23202
14270,13382,162
150150,255,0
127690,7271,274
40936,0,0
91655,162804,2359
25362,34684529,686371
16641,923466,33017
155272,2012065,1644
150059,0,0
11816,60155,9663
170403,4214,148
100750,216323,758
38325,3546,58
13955,1003,53
25056,22189181,616961
90775,734659,9436
150546,26658,349
112616,486,2
65328,211,3
91717,404716,6376
50204,2936856,5076
5316,46588,155
195161,0,0
73876,7745,131
59540,135744,1085
3167,103131,1917
132843,734838,10327
99989,24,0
174088,17786,125
38709,13216,178
167359,18800,677
119608,632635,19486
2754,48475,1258
71721,30,0
46467,243599,9302
415,7238,64
113298,14436,63
40310,3681,146
187630,238778,1637
114875,37014,643
6476,3144,152
4063,275211,3496
156697,2739,76
42665,557165,6983
169687,50580,2936
81204,999256,28132
63377,8538,53
5740,399463,1269
2957,99010,1900
184355,4287117,107086
114192,514199,11446
84063,82211,5118
56675,12973615,108730
163936,6546,39
134584,86380,705
8187,2967316,4797
91283,1746997,14122
15101,390206,5681
10230,590113,7884
12018,644242,19441
190378,2985,35
92762,207683,2845
13330,16946,135
70785,161,1
137379,960300,8434
41018,56,1
148681,1885771,59180
79334,20870,584
36975,120215,1931
159837,4662,124
126398,48011,634
8772,184087,2199
39848,5007099,127380
17493,266557,1363
51090,353887,4020
11349,37299,38
29358,257167,2593
129478,5106,172
120058,6332,6
67077,156805,1393
63213,7,1
98544,19346764,24907
4955,16086,130
12071,752379,21887
81199,939948,26857
194063,4027157,102257
151571,413174,6913
135052,304679,4113
128882,255766,3143
11438,39632,38
139682,8,0
166083,121167,5934
27765,147,0
169121,338,10
109991,813415,5716
57788,597838,2651
171516,13106,124
117393,31171,737
111774,522389,9190
81358,2135998,57561
113794,195602,4129
135764,534041,11318
3951,228777,3262
82295,11308846,158306
177914,44847,1291
172745,1841131,18699
6757,1757429,44983
110056,832884,5855
5713,316875,888
136552,10116,291
15494,1571228,27901
139400,3690707,60455
130508,932884,13248
120112,50099,206
36116,1163,43
128927,256573,3144
3923,205549,3161
126561,127804,3516
103074,14624,242
133187,983319,11954
35898,84950,809
13987,1158,54
51701,20216,1028
195005,328550,4013
184114,2276111,53420
72592,25411,1053
140847,65480,2018
160734,23730,534
178589,3803,77
40724,8108,160
183560,169396,3630
183808,93490,2100
11632,50470,38
143301,1014632,17622
14753,21128,387
7331,9507562,129278
171611,17239,162
90925,849000,10930
35669,61998,706
135212,389447,4260
109282,970,19
13927,891,53
81059,190665,7940
4433,855,52
167487,0,0
136257,1529727,30379
171002,7613,193
128911,256148,3143
71073,13565,214
179218,1041197,28575
33584,1916522,39456
22777,2521,33
53231,510177,32784
8737,53492,1072
90956,919173,11377
8557,14629,489
128627,191345,2454
71994,623,0
89147,21581917,174447
98290,412311,3244
85350,558767,12361
45012,504717,1072
173461,12044,86
52800,90537,5877
48359,0,0
133827,2702,28
101215,494633,6630
82394,29823546,385137
26279,74454,430
9569,0,0
1980,340,7
