country_date_id,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support
93702,1,1,0,0.00,0.00
13928,0,,0,0.00,0.00
50,0,,0,0.00,0.00
102330,1,0,0,0.00,0.00
75361,0,,0,,
80479,0,,1,,
113306,1,1,0,,
3670,1,1,1,0.00,0.00
139475,0,,0,,
140792,1,0,1,0.00,0.00
16317,2,0,1,0.00,0.00
41635,1,0,0,,
155041,0,,0,0.00,0.00
1679,0,,0,,
140007,0,,2,0.00,0.00
111155,1,1,2,,
81831,2,1,2,,
44304,2,1,2,0.00,0.00
121670,0,,0,,
59928,1,1,1,,
52391,0,,0,,
68382,0,,0,,
99275,1,0,1,,
12898,2,0,1,0.00,0.00
101573,1,1,1,,
2422,0,,0,0.00,0.00
9220,2,1,2,,
63198,0,,0,0.00,0.00
1343,0,,0,0.00,0.00
108308,2,1,2,0.00,0.00
81111,1,0,1,0.00,0.00
151526,2,0,1,0.00,0.00
127496,0,,2,0.00,0.00
95128,1,1,2,,
83825,0,,0,,
57917,0,,0,0.00,0.00
60979,1,1,1,,
22182,0,,0,,
122496,0,,0,,
103109,0,,0,0.00,0.00
48912,0,,0,0.00,0.00
66200,0,,0,,
94450,0,,0,,
59677,1,1,1,,
16660,2,0,2,,
107463,1,0,2,0.00,0.00
146042,2,0,0,0.00,0.00
62106,0,,0,0.00,0.00
66999,0,,0,,
30080,0,,0,0.00,0.00
137863,1,1,1,0.00,0.00
75091,1,1,1,,
36110,0,,0,0.00,0.00
21857,0,,0,,
78995,1,1,1,0.00,0.00
118445,0,,0,,
106595,0,,0,,
93966,1,1,1,0.00,0.00
89547,1,1,1,0.00,0.00
32259,2,0,0,0.00,0.00
3163,1,1,0,,
94516,0,,0,0.00,0.00
103346,0,,0,0.00,0.00
59921,1,1,1,,
90022,0,,0,,
14081,0,,0,0.00,0.00
89932,0,,0,,
13675,0,,0,,
126888,0,,0,,
58082,0,,2,0.00,0.00
12429,0,,0,,
155055,2,1,2,,
3334,2,0,1,0.00,0.00
120889,0,,0,0.00,0.00
102529,0,,0,,
102480,0,,0,,
22134,0,,0,,
83651,2,1,2,,
73001,0,,2,0.00,0.00
149690,1,1,2,,
29307,0,,0,,
52573,0,,0,,
7111,0,,1,,
138527,0,,0,0.00,0.00
43852,2,1,0,,
114329,1,0,1,,
35579,1,1,2,,
86113,0,,0,0.00,0.00
52341,0,,0,,
34245,1,0,2,0.00,0.00
37041,0,,1,,
80333,0,,1,0.00,0.00
1771,0,,0,,
72529,1,1,2,0.00,0.00
32888,0,,0,0.00,0.00
123816,0,,0,0.00,0.00
121762,0,,0,0.00,0.00
106493,0,,0,0.00,0.00
98962,1,0,1,0.00,0.00
3329,2,0,1,0.00,0.00
110957,1,1,1,,
61688,1,1,0,,
152656,1,1,0,0.00,0.00
121277,0,,0,,
143518,0,,0,,
99469,1,0,1,,
81758,2,0,2,,
53623,0,,0,0.00,0.00
2982,1,1,0,,
108123,0,,0,0.00,0.00
82185,0,,2,0.00,0.00
133903,1,1,2,,
15263,0,,2,0.00,0.00
107340,1,0,2,0.00,0.00
42430,1,1,1,0.00,0.00
106461,0,,0,0.00,0.00
128402,0,,0,0.00,0.00
31852,2,0,1,0.00,0.00
17548,2,0,1,,
90358,1,0,1,0.00,0.00
96217,0,,0,,
142664,0,,0,,
131122,2,1,0,,
63190,0,,0,0.00,0.00
80736,0,,0,,
48482,1,1,2,0.00,0.00
9893,0,,0,0.00,0.00
4976,2,1,2,,
114631,1,1,1,0.00,0.00
116104,0,,1,,
107411,1,0,2,0.00,0.00
102316,1,0,0,0.00,0.00
85621,1,0,1,,
122780,0,,0,0.00,0.00
115667,0,,0,0.00,0.00
121123,0,,0,0.00,0.00
151159,0,,0,18600000000.00,0.00
47656,1,0,0,0.00,0.00
120863,0,,0,0.00,0.00
152645,0,,0,0.00,0.00
47889,1,0,0,,
150967,0,,0,,
80000,2,0,1,0.00,0.00
37691,0,,1,,
54287,1,1,2,,
120617,0,,0,,
116659,1,1,1,0.00,0.00
123497,2,1,2,,
79145,1,1,1,0.00,0.00
91503,0,,0,0.00,0.00
62247,1,1,2,0.00,0.00
67695,0,,0,0.00,0.00
36456,0,,0,0.00,0.00
143586,0,,0,,
31460,1,0,1,,
6507,1,1,2,0.00,0.00
16054,2,0,1,0.00,0.00
40173,1,0,0,,
59402,2,1,1,0.00,0.00
142052,1,1,2,0.00,0.00
118742,0,,0,0.00,0.00
107722,2,1,2,,
24695,1,1,1,0.00,0.00
27357,0,,0,,
149073,0,,2,0.00,0.00
103263,0,,0,0.00,0.00
131894,2,0,0,,
4333,2,1,0,0.00,0.00
43447,0,,2,0.00,0.00
133774,1,1,2,0.00,0.00
68976,0,,1,0.00,0.00
20780,0,,0,,
17234,2,0,2,0.00,0.00
50306,0,,0,,
7358,0,,0,,
148845,0,,0,0.00,0.00
152735,0,,0,,
76725,2,0,2,0.00,0.00
53306,1,1,2,,
51933,0,,1,0.00,0.00
115323,0,,0,,
57182,0,,2,0.00,0.00
62673,1,1,0,,
53507,1,1,2,,
106139,0,,2,0.00,0.00
42740,0,,1,,
104507,0,,0,,
60934,1,1,1,,
8326,0,,0,,
69360,0,,0,,
117655,2,0,1,,
53404,1,1,2,,
138143,1,1,1,,
103657,0,,0,,
44730,2,1,2,,
30756,0,,0,0.00,0.00
32277,2,0,0,0.00,0.00
51785,0,,2,0.00,0.00
22936,1,1,2,,
16816,0,,0,,
