theme,color
SpongeBob SquarePants,Light Bluish Gray
Sports,White
Spybiotics,Black
Spyrius,Black
Star Wars,Black
Star Wars Clone Wars,Light Bluish Gray
Star Wars Episode 1,Light Bluish Gray
Star Wars Episode 2,Light Bluish Gray
Star Wars Episode 3,Light Bluish Gray
Star Wars Episode 4/5/6,Light Bluish Gray
Star Wars Episode 7,Dark Bluish Gray
Star Wars Episode 8,Light Bluish Gray
Star Wars Expanded Universe,Black
Star Wars Other,Black
Star Wars Rebels,Light Bluish Gray
Star Wars Rogue One,Light Bluish Gray
Stars,Dark Bluish Gray
Station,White
Stingrays,Black
Studios,Black
Super Heroes,Black
Superman,Black
Supplemental,White
Team GB,White
Technic,Black
Teenage Mutant Ninja Turtles,Black
Temple of Doom,Dark Bluish Gray
Thanksgiving,Black
The Battle of the Five Armies,Dark Bluish Gray
The Desolation of Smaug,Black
The Fellowship of the Ring,Dark Bluish Gray
The Hobbit,Reddish Brown
The Hobbit,Tan
The Hobbit,Black
The LEGO Movie,Black
The LEGO Movie Series,Black
The Lone Ranger,Black
The Lord of the Rings,Dark Bluish Gray
The Return of the King,Black
The Simpsons,Black
The Two Towers,Black
Throwbot Slizer,Black
Time Cruisers,Black
Tiny Turbos,Black
Titans,Black
Toa,Black
Toa Hagah,Black
Toa Hordika,Flat Silver
Toa Hordika,Dark Bluish Gray
Toa Inika,Black
Toa Mahri,Black
Toa Metru,Black
Toa Nuva,Black
Toa Okoto,Black
Tohunga,Black
Town,White
Town Plan,White
Toy Story,Black
Track System,Black
Traffic,Black
Train,Black
Trains,Black
Turaga,Black
UFO,Black
Ultimate Collector Series,Black
Ultra Agents,Black
Unitron,Black
Universal Building Set,Light Gray
Universe,White
Vahki,Dark Bluish Gray
Valentine,Red
Vehicle,Red
Vehicles,Light Bluish Gray
Vikings,Black
Villains,Black
Visorak,Black
Warriors,Black
WeDo,White
Western ,Black
Williams F1,Black
Wolfpack,Black
World City,Black
World Racers,Black
X-Men,Black
X-Pod,Black
Xalax,Black
Znap,Black
eLAB,Black
